"Station ID","Station Name","Zone","Lane","Actions Performed","Tools Required","Fixtures & Jigs","Consumables","Input Materials","Output Materials / WIP State","QC Check","Notes"
"S01","Lumber Receiving & Staging","Wood Zone","Frame","Inspect 2x4s for warps/knots/defects; mark reject pieces; cut to rough oversized length for batch","Tape measure; pencil; speed square","None","None","Raw 2x4 lumber (8ft or 10ft boards)","Rough-cut 2x4 segments (oversized by ~1in); rejected lumber set aside","Visual inspection for warps, splits, large knots in critical areas","Batch-cut a full week of frames at once; mark each piece with chalk for easy identification"
"S02","Miter Saw — Precision Cut","Wood Zone","Frame","Cut all frame segments to final length using dead-stop fence jig; cut all miter angles; identify and mark electronics pocket segment","12in sliding miter saw (Dewalt); push stick; hearing protection; safety glasses","Dead-stop fence jig (one stop per unique cut length); clamp blocks","Sandpaper (120 grit) for any tearout cleanup","Rough-cut 2x4 segments from S01","Precision-cut mitered frame segments; segments sorted by type (standard vs pocket piece)","Verify miter angle with digital angle gauge; check cut length against spec","Never change fence stop mid-batch; run all of one cut length before moving stop; pocket segment should be clearly marked before leaving this station"
"S03","Router Table — Profile & Channel Mill","Wood Zone","Frame","Mill mirror channel profiles into all frame segments; mill any decorative or functional edge profiles; run all standard pieces first then switch to pocket setup","Router table (Kreg or Bosch benchtop); router bit set (straight & profile bits); push blocks; featherboards; hearing protection; safety glasses; dust mask","Featherboard clamps; router table fence with stops; depth-setting gauge","None","Precision-cut mitered frame segments from S02","Fully profiled frame segments with mirror channels milled; segments ready for pocket routing or glue-up","Check channel depth and width with calipers against mirror glass thickness spec; verify channel runs full length","Set and lock bit depth before batch; use featherboards to maintain consistent fence pressure; do NOT change bit height mid-batch"
"S04","Handheld Router — Electronics Pocket","Wood Zone","Frame","Rout electronics bay pocket into designated frame segment; set pocket to correct depth for PCB housing; verify fit with housing before proceeding","Handheld router (Dewalt 1-3/4hp); straight router bit; router speed control; safety glasses; hearing protection","Router sled jig (controls X/Y travel and pocket dimensions); depth stop collar; sacrificial backer board","None","Profiled frame segments from S03 (pocket segment only)","Frame segment with electronics pocket routed to correct depth and position; pocket verified to accept controller housing","Test fit 3D printed controller housing into pocket — must seat flush; check pocket depth with depth gauge","This is the only non-repeatable step in the frame lane; jig eliminates variability; always do a test pass on scrap before running production pieces"
"S05","Frame Glue-Up & Assembly","Wood Zone","Frame","Apply wood glue to all miter joints; assemble frame using square jig; clamp and set aside to cure; label each frame with batch ID","Paintbrush or glue spreader; rubber mallet; bar clamps (x4 minimum per frame); F-clamps","90-degree corner square jig (L-shaped clamping fixture on bench); wax paper to protect bench surface","Wood glue (Titebond II or III); painter's tape (for squeeze-out cleanup)","All profiled and routed frame segments from S03 and S04","Assembled glued frame (curing); frames labeled with batch ID and date","Check frame is square (diagonal measurement must match); verify all joints are tight with no gaps","Do not move clamped frames for minimum 45 minutes; glue cure time is passive — stack clamp sets so you can run multiple frames without blocking the station"
"S06","Frame Sanding & Finish","Wood Zone","Frame","Sand all exterior faces; break sharp edges; remove glue squeeze-out; apply finish coat if required; final visual inspection of frame","Random orbital sander; sanding block; shop vac with auto-on","None","Sandpaper (120 grit, 180 grit, 220 grit); finish/stain/sealant (per product spec); tack cloth; latex gloves","Cured glued frame from S05","Finished sanded frame — ready for final assembly; electronics pocket clean and unobstructed","Visual check: no tearout, no glue residue, pocket walls clean and smooth; verify frame is still square after clamps removed","Do not finish inside the mirror channel or the electronics pocket — finish can affect fit tolerances; mask these areas if using spray"
"S07","Mirror Sheet Receiving & Storage","Mirror Zone","Mirrors","Receive mirror sheets; inspect for cracks or chips; label sheets with received date; store vertically in A-frame rack with foam separators","Suction cup handles (x2); permanent marker; tape measure","Padded A-frame vertical storage rack","Foam sheet separators; edge protector tape","Raw 12x12in mirror sheets","Received and inspected 12x12in sheets stored vertically in rack; damaged sheets marked and quarantined","Inspect all four edges and faces for chips, cracks, silver bleed; reject any with delamination","NEVER store flat in stacks — vertical storage with foam separators prevents edge chipping and breakage; keep away from sawdust and vibration"
"S08","Wet Saw — Mirror Batch Cut","Mirror Zone","Mirrors","Cut each 12x12in sheet into 4x 6x6in blanks; clean cut edges; sort into blank inventory bin; log sheet count consumed","Benchtop tile/glass wet saw (7in diamond blade); safety glasses; waterproof gloves; suction cup handles","Wet saw fence set to 6in (lock before batch); push block","Diamond blade cutting fluid (in saw reservoir); shop towels for drying","Inspected 12x12in mirror sheets from S07","4x clean-cut 6x6in mirror blanks per sheet; blanks dried and placed in labeled inventory bin","Check each cut edge for chips or micro-cracks; reject any piece with visible edge damage","Always wet-cut mirror — dry cutting causes microfractures; cut all sheets in one batch session; do NOT change fence setting mid-batch"
"S09","Custom Design Cut (Per-Order)","Mirror Zone","Mirrors","Pull blank 6x6in panels from inventory; cut custom pattern per order spec; clean and dry cut pieces; inspect edges","Laser cutter or CNC (per shop setup); suction cup handles; safety glasses; appropriate PPE for cutting method","Per-order design file (loaded from order system); fixture to hold mirror blank flat during cut","Coolant or cutting fluid per machine spec; shop towels","6x6in blank mirror panels from S08 inventory; per-order design file","2x custom-cut 6x6in mirror panels per unit; panels labeled with order ID","Verify cut pattern against order spec; inspect all cut edges; check for silver layer damage near cut lines","SKIP THIS STATION for standard/blank units; custom cuts are a per-order operation not a batch operation; pull blanks from inventory bin, never cut to order from raw sheet"
"S10","LED Strip Receiving & Pre-Test","Electronics Bench","LED Strip Prep","Receive LED strip rolls; inspect for physical damage; power on full roll using bench PSU and test harness; flag and quarantine any dead segments; log roll lot number","Bench power supply (0-30V 5A); test harness with alligator clips; multimeter; magnifying loupe","None","None","Raw LED strip rolls (full length)","Tested and approved LED strip rolls in stock; rejected rolls quarantined and logged","Every LED must illuminate on full roll test; check for dead zones, flickering, or abnormal color; measure strip voltage and current draw","Do this at receiving — NOT at assembly; discovering a dead strip mid-build is a major disruption; log roll lot numbers for traceability"
